_id,contentId,collectionId,contentType,language,contentIndex,tags,createdAt,text,multilingual,mech1_type,mech1_question,mech1_option1,mech1_option2,mech1_option3,mech1_correct,mech2_type,mech2_question,mech2_option1,mech2_option2,mech2_option3,mech2_correct,mech3_type,mech3_question,mech3_option1,mech3_option2,mech3_option3,mech3_correct
65e8565e75372f314360a689,62196101-01fa-4a45-8604-b76736d3b4dd,ee548dec-f599-47a4-8767-bddadb20ed70,sentence,hi,1,,2024-02-29T12:55:30.791Z,अमन के पिताजी दुकान चलाते थे |,,,,,,,,,,,,,,,,,,,
65e8565e75372f314360a68b,bbc89db1-b536-4eae-8693-cc0beb437810,ee548dec-f599-47a4-8767-bddadb20ed70,sentence,hi,2,,2024-02-29T12:55:30.791Z,दिन भर सब ठीक रहता था।,,,,,,,,,,,,,,,,,,,
65e8565e75372f314360a68d,601f9d10-4fa5-4994-ab41-1be335d93a97,ee548dec-f599-47a4-8767-bddadb20ed70,sentence,hi,3,,2024-02-29T12:55:30.791Z,रात को चूहे बहुत परेशान करते थे।,,,,,,,,,,,,,,,,,,,
65e8565f75372f314360a68f,e523165a-53a7-4834-ae7b-18c702223204,ee548dec-f599-47a4-8767-bddadb20ed70,sentence,hi,4,,2024-02-29T12:55:30.791Z,अमन ने चूहों को भगाने का एक तरीका सोचा।,,,,,,,,,,,,,,,,,,,
65e8565f75372f314360a691,3eae46fd-73b4-4ebe-8417-d0083c7539d9,ee548dec-f599-47a4-8767-bddadb20ed70,sentence,hi,5,,2024-02-29T12:55:30.791Z,वह एक बड़ी बिल्ली ले आया।,,,,,,,,,,,,,,,,,,,
65e856b875372f314360a6db,81ce5b2b-027b-4937-a635-81b8d90d4913,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,1,,2024-02-29T12:55:30.791Z,व,,,,,,,,,,,,,,,,,,,
65e856b875372f314360a6dd,b8195e33-3cda-454e-b114-783302f049a9,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,2,,2024-02-29T12:55:30.791Z,प,,,,,,,,,,,,,,,,,,,
65e856b875372f314360a6df,52680ec5-5f19-40c1-8ad0-fa3732143f9a,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,3,,2024-02-29T12:55:30.791Z,ट,,,,,,,,,,,,,,,,,,,
65e856b875372f314360a6e1,f56f1259-81b7-4547-b00d-cc35c9e76548,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,4,,2024-02-29T12:55:30.791Z,म,,,,,,,,,,,,,,,,,,,
65e856b975372f314360a6e3,56f0ce23-f184-49a5-aaaa-5f926e8ccdf4,e0021945-8948-4467-a256-13b5bfbbe6af,char,hi,5,,2024-02-29T12:55:30.791Z,त,,,,,,,,,,,,,,,,,,,
